,College Code,College Name,Course,Type,SM,EZ,MU,BH,LA,DV,VK,BX,KU,KN,SC,ST
173,KMW,"KMCT College of  Engineering for Women, Manassery.",Civil Engineering,S,48301,0,0,0,0,0,0,0,0,0,0,0
174,LMC,"Lourdes Matha College of Science and Technology, Kuttichal.",Civil Engineering,S,52074,0,0,0,0,0,0,0,0,0,0,0
175,MBC,"Mar Baselios Christian College of Engg. & Tech., Peermede.",Civil Engineering,S,52470,0,0,0,0,0,0,0,0,0,0,0
176,MBI,"Mar Baselios Institute of Technology & Science, Kothamangalam.",Civil Engineering,S,47739,0,0,0,0,0,0,0,0,0,0,0
177,MBT,"Mar Baselious College of Engg. & Tech., Thiruvananthapuram.",Civil Engineering,S,43674,48386,51289,50965,0,0,0,0,0,49053,53125,0
178,MCC,"Musaliar College of Engineering, Chirayinkeezh.",Civil Engineering,S,49115,0,0,0,0,0,0,0,0,0,0,0
179,MCE,"Marian Engineering College, Kazhakuttom.",Civil Engineering,S,50983,0,0,0,0,0,0,0,0,0,0,0
180,MCK,"Musaliar College of Engineering & Tech., Pathanamthitta.",Civil Engineering,S,46307,0,0,0,0,0,0,0,0,0,0,0
181,MCT,"Mohandas College of Engg. & Tech., Nedumangad, TVM",Civil Engineering,S,43465,0,0,0,0,0,0,0,0,0,0,0
182,MEA,"M E A Engineering College, Malappuram.",Civil Engineering,S,52708,0,0,0,0,0,0,0,0,0,0,0
183,MEC,"Malabar College of Engineering & Tech., Wadakancherry.",Civil Engineering,S,52901,0,0,0,0,0,0,0,0,0,0,0
184,MEE,"MES College of Engineering & Technology, .Ernakulam.",Civil Engineering,S,44648,0,0,0,0,0,0,0,0,0,0,0
185,MEK,"MES Institute of Tech. & Management, Chathannoor.",Civil Engineering,S,52096,0,0,0,0,0,0,0,0,0,0,0
186,MES,"M E S College of Engineering, Kuttippuram.",Civil Engineering,S,36566,47424,37890,0,0,0,0,0,0,0,51077,0
187,MET,"Met's School of Engineering, Mala.",Civil Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
188,MGE,"MGM College of Engineering & Technology, Ernakulam",Civil Engineering,S,44348,0,0,0,0,0,0,0,0,0,0,0
189,MGP,"Saintgits College of Engineering, Kottayam",Civil Engineering,S,51784,0,0,0,0,0,0,0,0,0,0,0
190,MHP,"Ace College of Engineering, .Thiruvallam.",Civil Engineering,S,51970,0,0,0,0,0,0,0,0,0,0,0
191,MLM,"Mangalam College of Engineering, Ettumanoor.",Civil Engineering,S,52362,0,0,0,0,0,0,0,0,0,0,0
192,MLT,"Malabar Institute of Technology, Anjarakandi.",Civil Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
193,MUS,"Muslim Association College of Engineering, Venjaramoodu.",Civil Engineering,S,50147,0,0,0,0,0,0,0,0,0,0,0
194,MUT,"Muthoot Institute of Tech. & Science, Puthencurz, Ernakulam.",Civil Engineering,S,25467,26754,35543,37778,0,0,0,0,0,0,50351,0
195,MZC,"Mount Zion College of Engg., Pathanamthitta.",Civil Engineering,S,52320,0,0,0,0,0,0,0,0,0,0,0
196,MZW,"Mount Zion Institute of Science & Tehnology, Chengannur",Civil Engineering,S,46859,0,0,0,0,0,0,0,0,0,0,0
197,NIE,"Nirmala College of Engineering, Chalakudy.",Civil Engineering,S,49854,0,0,0,0,0,0,0,0,0,0,0
198,PAA,"P A Aziz College of Engineering, Karakulam, Thiruvananthapuram",Civil Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
199,PRC,"Providence College of Engineering, Chengannur.",Civil Engineering,S,52941,0,0,0,0,0,0,0,0,0,0,0
200,PRS,"PRS College of Engineering & Tech., Neyyattinkara.",Civil Engineering,S,50954,0,0,0,0,0,0,0,0,0,0,0
201,RCE,"Royal College of Engineering & Technology, Thrissur.",Civil Engineering,S,53006,0,0,0,0,0,0,0,0,0,0,0
202,RET,"Rajagiri School of Engineering and Technology, Kochi.",Civil Engineering,S,24389,33629,29124,39385,24737,0,0,0,0,0,51542,0
203,RIE,"Rajadhani Institute of Engineering & Tech., Attingal.",Civil Engineering,S,53195,0,0,0,0,0,0,0,0,0,0,0
204,SBC,"Sree Buddha College of Engineering, Nooranadu.",Civil Engineering,S,52304,0,0,0,0,0,0,0,0,0,0,0
205,SBW,"Sree Buddha College of Engineering, Elavumthitta, Pathanamthitta",Civil Engineering,S,41937,0,0,0,0,0,0,0,0,0,0,0
206,SCM,"SCMS School of Engg. & Tech., Ernakulam",Civil Engineering,S,52328,0,0,0,0,0,0,0,0,0,0,0
207,SGT,"Sadguru Swamy Nithyananda Insti. of Tech., Karsaragod",Civil Engineering,S,46343,0,0,0,0,0,0,0,0,0,0,0
208,SHM,"Shahul Hameed Memorial Engineering College, Kadakkal, Kollam",Civil Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
209,SHR,"Sahrdaya College of Engineering and Technology, Kodakara.",Civil Engineering,S,52573,0,0,0,0,0,0,0,0,0,0,0
210,SIT,"Sarabhai Institute of Science & Technology, Vellanad.",Civil Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
211,SJC,"St. Josephs College of Engineering and Technology,Palai.",Civil Engineering,S,52561,0,0,0,0,0,0,0,0,0,0,0
212,SNC,"Sree Narayana Guru College of Engg & Technology, Payyannur.",Civil Engineering,S,51612,0,0,0,0,0,0,0,0,0,0,0
213,SNG,"Sree Narayana Gurukulam College of Engineering, Kolencherry.",Civil Engineering,S,53029,0,0,0,0,0,0,0,0,0,0,0
214,SNM,"Sree Narayana Mangalam Inst. of Mgmt. & Tech., Moothakunnam.",Civil Engineering,S,51240,0,0,0,0,0,0,0,0,0,0,0
215,SNP,"Sree Narayana Institute of Technology, Adoor",Civil Engineering,S,51451,0,0,0,0,0,0,0,0,0,0,0
216,SNT,"Sree Narayana Guru Institute of Science & Tech., N. Paravoor.",Civil Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
217,SPT,"Sreepathy Institute of Management & Tech., Koottanad.",Civil Engineering,S,37796,0,0,0,0,0,0,0,0,0,0,0
218,STC,"St. Thomas College of Engg. & Technology, Chengannur.",Civil Engineering,S,51003,0,0,0,0,0,0,0,0,0,0,0
219,STI,"St. Thomas Institute of Science & Technology, Kattaikonam.",Civil Engineering,S,48240,0,0,0,0,0,0,0,0,0,0,0
220,STM,"St. Thomas College of Engineering & Technology,  Kannur.",Civil Engineering,S,51826,0,0,0,0,0,0,0,0,0,0,0
221,TCE,"Toms College of Engineering, Mattakara, Kottayam",Civil Engineering,S,34072,0,0,0,0,0,0,0,0,0,0,0
222,TCT,"Trinity College of Engg, Neruvamoodu, Thiruvananthapuram.",Civil Engineering,S,43119,0,0,0,0,0,0,0,0,0,0,0
223,TEC,"Travancore Engineering College, Oyoor, Kollam.",Civil Engineering,S,49544,0,0,0,0,0,0,0,0,0,0,0
224,TJE,"Thejus Engineering College, Erumapetti, Thrissur.",Civil Engineering,S,42105,0,0,0,0,0,0,0,0,0,0,0
225,TKI,"T K M Institute of Technology, Ezhukone, Kollam.",Civil Engineering,S,48881,0,50402,0,0,0,0,0,0,0,0,0
226,TOC,"Toc H Institute of Science & Tech., Mulamthurutthy.",Civil Engineering,S,49915,0,0,0,0,0,0,0,0,0,0,0
227,UKP,"UKF College of Engineering & Tech., Parippally.",Civil Engineering,S,52758,0,0,0,0,0,0,0,0,0,0,0
228,UNT,"Universal Engineering College, Vallivattom, Thrissur.",Civil Engineering,S,51498,0,0,0,0,0,0,0,0,0,0,0
229,VAK,"Vidya Academy of Science & Technology, Kilimanoor.",Civil Engineering,S,52317,0,0,0,0,0,0,0,0,0,0,0
230,VAS,"Vidya Academy of Science & Technology, Thrissur.",Civil Engineering,S,52948,0,0,0,0,0,0,0,0,0,0,0
231,VIT,"Vijnan Institute of Science & Technology, Piravam.",Civil Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
232,VJC,"Viswajyothi College of Engg. & Technology,Vazhakulam.",Civil Engineering,S,48654,0,0,0,0,0,0,0,0,0,0,0
233,VKE,"Valia Koonambaikulathamma College of Engg. & tech., Parippally.",Civil Engineering,S,52557,0,0,0,0,0,0,0,0,0,0,0
234,VML,"Vimal Jyothi Engineering College, Chemperi.",Civil Engineering,S,49594,0,0,0,0,0,0,0,0,0,0,0
235,VPE,"Mahaguru Institute of Technology, Mavelikkara, Alappuzha",Civil Engineering,S,52848,0,0,0,0,0,0,0,0,0,0,0
236,VVT,"Veda Vyasa Institute of Technology, Ponnempadam, Malappuram.",Civil Engineering,S,50657,0,0,0,0,0,0,0,0,0,0,0
237,YCE,"Younus College of Engg. & Technology, Vadakkevila, Kollam",Civil Engineering,S,52563,0,0,0,0,0,0,0,0,0,0,0
238,SCT,"S C T College of Engineering, Pappanamcode, TVPM",Computer Science & Engg. (Artificial Intelligence & Machine Learning),N,4995,7523,8660,7630,10949,32393,5017,0,0,0,49741,0
239,SBC,"Sree Buddha College of Engineering, Nooranadu.",Computer Science & Engg. (Artificial Intelligence & Machine Learning),S,53211,0,0,0,0,0,0,0,0,0,0,0
240,MAC,"M A College of Engineering, Kothamangalam.",Computer Science & Enggineering (Data Science),G,3039,4512,3633,3903,5073,9515,6935,0,0,0,31611,39627
241,IDK,"Engineering College, Idukki",Computer Science & Engineering,G,4464,13260,8088,17207,30706,29671,14542,21510,0,35201,49629,52298
242,KNR,"Govt. College of Engineering, Kannur.",Computer Science & Engineering,G,3453,3991,4098,4072,5519,14686,4974,22148,25377,15275,30863,46121
243,KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam.",Computer Science & Engineering,G,2554,2985,2768,3691,7018,14641,2971,0,0,0,29494,51327
244,MAC,"M A College of Engineering, Kothamangalam.",Computer Science & Engineering,G,1965,2218,2151,2916,4956,5731,2426,8703,7446,18934,25542,41394
245,NSS,"N S S College of Engineering, Palakkad.",Computer Science & Engineering,G,3016,3417,3234,3964,6319,13289,3030,0,0,0,30256,0
246,PKD,"Govt. Engineering College, Sreekrishnapuram.",Computer Science & Engineering,G,3362,5990,5997,5539,8005,19485,5852,23575,45783,28598,37250,52789
247,TCR,"Govt. Engineering College,Thrissur.",Computer Science & Engineering,G,976,1226,1084,1328,3828,2714,1220,0,0,0,20597,20190
248,TKM,"T K M College of Engineering, Kollam.",Computer Science & Engineering,G,1366,1582,1536,1859,3401,7522,1762,7862,5608,9296,22678,49641
249,TVE,"College of Engineering,Thiruvananthapuram.",Computer Science & Engineering,G,466,680,765,796,1805,934,731,3203,4285,5506,10081,33153
250,WYD,"Govt. Engineering College, Mananthavady.",Computer Science & Engineering,G,4243,13339,8290,18737,38216,40677,10987,0,0,0,46369,38706
251,ADR,"College of Engineering, Adoor",Computer Science & Engineering,N,14636,18877,19080,18763,19048,0,0,20622,0,0,52861,0
252,AEC,"College of Engineering, Aranmula, Pathanamthitta.",Computer Science & Engineering,N,35140,36896,43467,37926,47885,42337,37319,0,0,0,49156,0
253,CEA,"College of Engineering, Attingal, Thiruvananthapuram.",Computer Science & Engineering,N,18613,20577,22006,23545,32823,0,19735,0,0,0,53106,0
254,CEC,"College of Engineering, Cherthala, Alappuzha.",Computer Science & Engineering,N,23902,29880,29820,24440,25130,33360,0,0,45467,0,48855,0
255,CEK,"College of Engineering, Kottarakkara, Kollam.",Computer Science & Engineering,N,33207,39161,43442,41942,35927,0,49151,0,0,0,0,0
256,CEM,"College of Engineering, Muttathara.",Computer Science & Engineering,N,33835,38565,38894,39550,43792,0,36513,45073,0,0,52926,0
257,CHN,"College of Engineering, Chengannur, Alappuzha.",Computer Science & Engineering,N,8268,11680,10923,11387,19928,14447,9385,0,0,0,49167,0
258,KGR,"College of Engineering, Kidangoor.",Computer Science & Engineering,N,24257,29192,44874,30864,35057,35654,31448,0,0,0,52140,0
259,KNP,"College of Engineering, Karunagappally.",Computer Science & Engineering,N,25419,29789,30007,29627,26866,38199,30666,0,0,0,46094,0
260,KSD,"LBS College of Engineering, Kasaragod.",Computer Science & Engineering,N,20702,27207,26630,23280,44031,44429,26880,0,0,0,49017,0
261,LBT,"LBS Institute of Tech. for Women, Poojapura, TVPM",Computer Science & Engineering,N,10501,13286,16022,12968,30474,33922,16508,0,0,0,49529,0
262,MDL,"Model Engineering College, Thrikkakkara.",Computer Science & Engineering,N,1459,2375,1935,1729,1899,6531,4936,13584,6558,44137,30341,13575
263,MNR,"College of Engineering, Munnar.",Computer Science & Engineering,N,29511,31247,38017,44578,41097,0,0,0,0,0,50298,0
264,PEC,"College of Engineering, Pathanapuram.",Computer Science & Engineering,N,36256,41804,44105,0,42212,47058,49700,0,0,0,48577,0
265,PJR,"College of Engineering, Poonjar.",Computer Science & Engineering,N,31705,32617,40585,0,0,0,0,0,0,0,41754,0
266,PRN,College of Engineering Perumon.,Computer Science & Engineering,N,19362,25064,23311,23363,45846,42970,43048,0,0,0,51299,0
267,PRP,"College of Engineering & Management, Punnapra.",Computer Science & Engineering,N,35570,39867,40289,0,36859,37013,51577,0,51024,47123,43637,0
268,PTA,"College of Engineering, Kallooppara.",Computer Science & Engineering,N,20868,26994,39009,26060,31496,0,0,0,0,0,51779,0
269,SCT,"S C T College of Engineering, Pappanamcode, TVPM",Computer Science & Engineering,N,3852,4997,4902,4662,8894,18928,4757,0,0,0,37851,0
270,TKR,"College of Engineering, Thrikarippur, Kasaragod.",Computer Science & Engineering,N,25192,28805,32277,27364,50886,51810,29843,0,0,44073,52992,49630
271,TLY,"College of Engineering, Thalassery, Kannur.",Computer Science & Engineering,N,14815,19477,16015,15753,47335,28987,28999,0,0,0,49944,0
272,UCE,"University College of Engineering,Thodupuzha.",Computer Science & Engineering,N,34049,40915,44372,43276,0,0,46837,0,0,0,52233,0
273,UCK,"University College of Engineering, Kariavattom.",Computer Science & Engineering,N,17452,24584,17559,0,0,37986,34658,33663,52079,0,49488,0
274,VDA,"College of Engineering, Vadakara, Kozhikode.",Computer Science & Engineering,N,23628,25178,28415,23761,41155,36958,25620,0,0,0,53003,0
275,AAE,"Al-Azhar College of Engineering & Technology, Thodupuzha.",Computer Science & Engineering,S,52920,0,0,0,0,0,0,0,0,0,0,0
276,AIK,"Albertian Institute of Science and Technology, Kalamassery.",Computer Science & Engineering,S,34711,44448,43439,35679,39027,0,0,0,0,0,45786,0
277,AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",Computer Science & Engineering,S,21546,25286,25042,34621,0,28525,23245,0,0,0,52571,51004
278,AME,"Rajadhani Institute of Science and Technology, Palakkad",Computer Science & Engineering,S,51142,0,0,0,0,0,0,0,0,0,0,0
279,ASI,"Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.",Computer Science & Engineering,S,24769,29152,35326,36035,42587,45979,30412,0,33305,0,51386,0
280,ATP,"Ahalia School of Engineering & Technology, Pudussery, Palakkad.",Computer Science & Engineering,S,52828,0,0,0,0,0,0,0,0,0,0,0
281,AWH,"AWH Engineering College, Kozhikkode",Computer Science & Engineering,S,46881,0,0,0,0,0,0,0,0,0,0,0
282,AXE,"Axis College of Engineering & Technology, Murikkingal, Thrissur.",Computer Science & Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
283,BMC,"Baselios Mathew II College of Engg., Sasthamcotta, Kollam.",Computer Science & Engineering,S,52554,0,0,0,0,0,0,0,0,0,0,0
284,CCE,"Christ College of Engineering, Irinjalakuda.",Computer Science & Engineering,S,12640,21730,20056,18202,0,30705,16662,0,0,0,49022,0
285,CCV,"MGM College of Engineering and Pharmaceutical Sciences,",Computer Science & Engineering,S,52391,0,0,0,0,0,0,0,0,0,0,0
286,CIM,"Mentor Academy for Design Entrepreneurship & Tech., Ernakulam",Computer Science & Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
287,CKC,"Christ Knowledge City, Kuzhoor,EKM",Computer Science & Engineering,S,41074,0,0,0,0,0,0,0,0,0,0,0
288,CMA,"Carmel College of Engg. & Technology, Punnapra, Alappuzha.",Computer Science & Engineering,S,50546,0,0,0,0,0,0,0,0,0,0,0
289,DMC,"M Dasan Memmorial Co-op. Inst. of Engg. & Inf. Tech., Koyilandy.",Computer Science & Engineering,S,50897,0,0,0,0,0,0,0,0,0,0,0
290,ECE,"ICCS College of Engineering and Management, Thrissur",Computer Science & Engineering,S,47404,0,0,0,0,0,0,0,0,0,0,0
291,EKC,"Eranad Knowledgecity Technical Campus, Cherukulam, Manjeri",Computer Science & Engineering,S,47037,0,0,0,0,0,0,0,0,0,0,0
292,FIT,"Federal Institute of Science & Tech., Angamaly.",Computer Science & Engineering,S,10553,14231,13436,11694,12007,40944,11622,0,24118,45868,36678,0
293,GIT,"Gurudeva Institute of Science & Technology, Puthuppally.",Computer Science & Engineering,S,53191,0,0,0,0,0,0,0,0,0,0,0
294,HCE,"Heera College of Engineering & Technology, Nedumangad.",Computer Science & Engineering,S,51637,0,0,0,0,0,0,0,0,0,0,0
295,HGW,"Holy Grace Academy of Engineering, Mala, Thrissur.",Computer Science & Engineering,S,52807,0,0,0,0,0,0,0,0,0,0,0
296,ICE,"Ilahia College of Engineering & Tech., Moovattupuzha.",Computer Science & Engineering,S,52936,0,0,0,0,0,0,0,0,0,0,0
297,IES,"I E S College of Engineering, Chittilappilly.",Computer Science & Engineering,S,53123,0,0,0,0,0,0,0,0,0,0,0
298,IGW,"Indira Gandhi Inst. of Engineering & Tech., Kothamangalam",Computer Science & Engineering,S,53112,0,0,0,0,0,0,0,0,0,0,0
299,ILE,"ILM College of Engineering, Perumbavoor, Ernakulam.",Computer Science & Engineering,S,44279,0,0,0,0,0,0,0,0,0,0,0
300,JBT,"Jai Bharath College of Management & Engg. Tech., Perumbavoor.",Computer Science & Engineering,S,50588,0,0,0,0,0,0,0,0,0,0,0
301,JCE,"Jawaharlal College of Engineering & Technology, Ottappalam.",Computer Science & Engineering,S,53011,0,0,0,0,0,0,0,0,0,0,0
302,JEC,"Jyothi Engineering College, Cheruthuruthy.",Computer Science & Engineering,S,29464,37572,48223,32006,0,43279,41341,0,0,0,49251,0
303,JIT,"John Cox Memorial CSI Institute of Technology,",Computer Science & Engineering,S,52893,0,0,0,0,0,0,0,0,0,0,0
304,KIT,"Kottayam Institute of Tech. & Science, Pallicathode, Kottayam.",Computer Science & Engineering,S,52645,0,0,0,0,0,0,0,0,0,0,0
305,KMC,"KMCT College of  Engineering, Kozhikkode.",Computer Science & Engineering,S,50201,0,0,0,0,0,0,0,0,0,0,0
306,KME,"K M E A Engineering College, Edathala.",Computer Science & Engineering,S,52805,0,0,0,0,0,0,0,0,0,0,0
307,KMW,"KMCT College of  Engineering for Women, Manassery.",Computer Science & Engineering,S,52652,0,0,0,0,0,0,0,0,0,0,0
308,KVE,"KVM College of Engineering and Information Technology, Cherthala.",Computer Science & Engineering,S,46783,0,0,0,0,0,0,0,0,0,0,0
309,LMC,"Lourdes Matha College of Science and Technology, Kuttichal.",Computer Science & Engineering,S,51770,0,0,0,0,0,0,0,0,0,0,0
310,MBC,"Mar Baselios Christian College of Engg. & Tech., Peermede.",Computer Science & Engineering,S,49781,0,0,0,0,0,0,0,0,0,0,0
311,MBI,"Mar Baselios Institute of Technology & Science, Kothamangalam.",Computer Science & Engineering,S,46587,47507,0,0,0,0,0,0,0,0,0,0
312,MBT,"Mar Baselious College of Engg. & Tech., Thiruvananthapuram.",Computer Science & Engineering,S,14947,20284,21610,16982,36508,27268,40404,25514,0,0,50112,0
313,MCC,"Musaliar College of Engineering, Chirayinkeezh.",Computer Science & Engineering,S,50633,0,0,0,0,0,0,0,0,0,0,0
314,MCE,"Marian Engineering College, Kazhakuttom.",Computer Science & Engineering,S,34837,36900,40411,46476,35245,0,38162,0,0,0,52995,0
315,MCK,"Musaliar College of Engineering & Tech., Pathanamthitta.",Computer Science & Engineering,S,50441,0,0,0,0,0,0,0,0,0,0,0
316,MCT,"Mohandas College of Engg. & Tech., Nedumangad, TVM",Computer Science & Engineering,S,52868,0,0,0,0,0,0,0,0,0,0,0
317,MEA,"M E A Engineering College, Malappuram.",Computer Science & Engineering,S,32583,36514,36021,40426,0,50779,0,0,0,0,52590,0
318,MEC,"Malabar College of Engineering & Tech., Wadakancherry.",Computer Science & Engineering,S,53207,0,0,0,0,0,0,0,0,0,0,0
319,MEE,"MES College of Engineering & Technology, .Ernakulam.",Computer Science & Engineering,S,48518,0,0,0,0,0,0,0,0,0,0,0
320,MEK,"MES Institute of Tech. & Management, Chathannoor.",Computer Science & Engineering,S,52209,0,0,0,0,0,0,0,0,0,0,0
321,MES,"M E S College of Engineering, Kuttippuram.",Computer Science & Engineering,S,33354,39539,35056,33877,0,0,0,0,0,0,52624,0
322,MET,"Met's School of Engineering, Mala.",Computer Science & Engineering,S,52740,0,0,0,0,0,0,0,0,0,0,0
323,MGC,"M G College of Engineering, Thiruvallom.",Computer Science & Engineering,S,52503,0,0,0,0,0,0,0,0,0,0,0
324,MGE,"MGM College of Engineering & Technology, Ernakulam",Computer Science & Engineering,S,51818,0,0,0,0,0,0,0,0,0,0,0
325,MGP,"Saintgits College of Engineering, Kottayam",Computer Science & Engineering,S,15269,23728,30266,18187,46573,20346,18322,0,0,0,51007,32480
326,MLM,"Mangalam College of Engineering, Ettumanoor.",Computer Science & Engineering,S,53139,0,0,0,0,0,0,0,0,0,0,0
327,MLT,"Malabar Institute of Technology, Anjarakandi.",Computer Science & Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
328,MUS,"Muslim Association College of Engineering, Venjaramoodu.",Computer Science & Engineering,S,46968,0,0,0,0,0,0,0,0,0,0,0
329,MUT,"Muthoot Institute of Tech. & Science, Puthencurz, Ernakulam.",Computer Science & Engineering,S,9679,18632,14399,12461,22137,18731,15007,0,51524,0,52837,0
330,MZC,"Mount Zion College of Engg., Pathanamthitta.",Computer Science & Engineering,S,51486,0,0,0,0,0,0,0,0,0,0,0
331,MZW,"Mount Zion Institute of Science & Tehnology, Chengannur",Computer Science & Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
332,NCE,"Nehru College of Engg. & Research Centre, Thiruvillwamala.",Computer Science & Engineering,S,52780,0,0,0,0,0,0,0,0,0,0,0
333,PAA,"P A Aziz College of Engineering, Karakulam, Thiruvananthapuram",Computer Science & Engineering,S,48402,0,0,0,0,0,0,0,0,0,0,0
334,PRC,"Providence College of Engineering, Chengannur.",Computer Science & Engineering,S,52097,0,0,0,0,0,0,0,0,0,0,0
335,PRS,"PRS College of Engineering & Tech., Neyyattinkara.",Computer Science & Engineering,S,39339,0,0,0,0,0,0,0,0,0,0,0
336,RCE,"Royal College of Engineering & Technology, Thrissur.",Computer Science & Engineering,S,52071,0,0,0,0,0,0,0,0,0,0,0
337,RET,"Rajagiri School of Engineering and Technology, Kochi.",Computer Science & Engineering,S,5839,10214,12526,8749,9826,7037,6875,0,0,0,51168,46807
338,RIE,"Rajadhani Institute of Engineering & Tech., Attingal.",Computer Science & Engineering,S,53121,0,0,0,0,0,0,0,0,0,0,0
339,SBC,"Sree Buddha College of Engineering, Nooranadu.",Computer Science & Engineering,S,32226,39918,49415,50276,0,37070,0,0,0,0,52972,0
340,SBW,"Sree Buddha College of Engineering, Elavumthitta, Pathanamthitta",Computer Science & Engineering,S,52048,0,0,0,0,0,0,0,0,0,0,0
341,SCM,"SCMS School of Engg. & Tech., Ernakulam",Computer Science & Engineering,S,21604,25088,25859,24190,29628,28539,30945,0,0,0,49503,0
342,SGT,"Sadguru Swamy Nithyananda Insti. of Tech., Karsaragod",Computer Science & Engineering,S,51432,0,0,0,0,0,0,0,0,0,0,0
